TestMSE: 804.1338500976562, TrainMSE: 193.04554748535156
TestMSE: 441.6337890625, TrainMSE: 112.95539855957031
TestMSE: 257.5965881347656, TrainMSE: 70.85935974121094
TestMSE: 164.66050720214844, TrainMSE: 48.589561462402344
TestMSE: 117.29240417480469, TrainMSE: 36.53303909301758
TestMSE: 92.80050659179688, TrainMSE: 29.809101104736328
TestMSE: 79.85081481933594, TrainMSE: 25.91747283935547
TestMSE: 72.7662353515625, TrainMSE: 23.562490463256836
TestMSE: 68.69068908691406, TrainMSE: 22.062387466430664
TestMSE: 66.17922973632812, TrainMSE: 21.051616668701172
TestMSE: 64.49519348144531, TrainMSE: 20.329742431640625
TestMSE: 63.259098052978516, TrainMSE: 19.783910751342773
TestMSE: 62.27287292480469, TrainMSE: 19.348819732666016
TestMSE: 61.431060791015625, TrainMSE: 18.98542594909668
TestMSE: 60.67668533325195, TrainMSE: 18.66983985900879
TestMSE: 59.977806091308594, TrainMSE: 18.3869571685791
TestMSE: 59.316200256347656, TrainMSE: 18.12700843811035
TestMSE: 58.68101501464844, TrainMSE: 17.883556365966797
TestMSE: 58.0656852722168, TrainMSE: 17.652311325073242
TestMSE: 57.46635437011719, TrainMSE: 17.430450439453125
TestMSE: 56.879974365234375, TrainMSE: 17.215848922729492
TestMSE: 56.30501937866211, TrainMSE: 17.007221221923828
TestMSE: 55.74003219604492, TrainMSE: 16.803510665893555
TestMSE: 55.184383392333984, TrainMSE: 16.604108810424805
TestMSE: 54.6373405456543, TrainMSE: 16.408506393432617
TestMSE: 54.0985107421875, TrainMSE: 16.216352462768555
TestMSE: 53.56747817993164, TrainMSE: 16.027381896972656
TestMSE: 53.04408645629883, TrainMSE: 15.841456413269043
TestMSE: 52.52798080444336, TrainMSE: 15.658368110656738
TestMSE: 52.019012451171875, TrainMSE: 15.478025436401367
TestMSE: 51.517059326171875, TrainMSE: 15.3003511428833
TestMSE: 51.022056579589844, TrainMSE: 15.12529182434082
TestMSE: 50.53374481201172, TrainMSE: 14.95274543762207
TestMSE: 50.052146911621094, TrainMSE: 14.782700538635254
TestMSE: 49.57706069946289, TrainMSE: 14.615079879760742
TestMSE: 49.10844421386719, TrainMSE: 14.44986343383789
TestMSE: 48.64619827270508, TrainMSE: 14.287001609802246
TestMSE: 48.19014358520508, TrainMSE: 14.126440048217773
TestMSE: 47.74028778076172, TrainMSE: 13.968172073364258
TestMSE: 47.29653549194336, TrainMSE: 13.812156677246094
TestMSE: 46.85871505737305, TrainMSE: 13.658334732055664
TestMSE: 46.42687225341797, TrainMSE: 13.506719589233398
TestMSE: 46.00083923339844, TrainMSE: 13.357251167297363
TestMSE: 45.58060073852539, TrainMSE: 13.20991039276123
TestMSE: 45.16596221923828, TrainMSE: 13.0646390914917
TestMSE: 44.75693893432617, TrainMSE: 12.921441078186035
TestMSE: 44.35345458984375, TrainMSE: 12.780275344848633
TestMSE: 43.9554443359375, TrainMSE: 12.641132354736328
TestMSE: 43.56277847290039, TrainMSE: 12.503945350646973
TestMSE: 43.17534255981445, TrainMSE: 12.368694305419922
TestMSE: 740.2874755859375, TrainMSE: 171.599853515625
TestMSE: 370.884521484375, TrainMSE: 91.28411102294922
TestMSE: 194.581787109375, TrainMSE: 51.712825775146484
TestMSE: 108.95967102050781, TrainMSE: 31.64914894104004
TestMSE: 67.15101623535156, TrainMSE: 21.269807815551758
TestMSE: 852.03466796875, TrainMSE: 205.7039031982422
TestMSE: 452.0316162109375, TrainMSE: 117.07107543945312
TestMSE: 256.2916259765625, TrainMSE: 72.05009460449219
TestMSE: 157.935546875, TrainMSE: 48.29024887084961
TestMSE: 108.15333557128906, TrainMSE: 35.46809387207031
TestMSE: 82.66087341308594, TrainMSE: 28.34686851501465
TestMSE: 69.35850524902344, TrainMSE: 24.24715232849121
TestMSE: 62.20476531982422, TrainMSE: 21.782358169555664
TestMSE: 58.17470169067383, TrainMSE: 20.224458694458008
TestMSE: 55.74707794189453, TrainMSE: 19.183887481689453
TestMSE: 54.15323257446289, TrainMSE: 18.4477481842041
TestMSE: 53.00126647949219, TrainMSE: 17.896392822265625
TestMSE: 52.08966064453125, TrainMSE: 17.46084976196289
TestMSE: 51.313507080078125, TrainMSE: 17.100112915039062
TestMSE: 50.61690139770508, TrainMSE: 16.789018630981445
TestMSE: 49.96977233886719, TrainMSE: 16.51181411743164
TestMSE: 49.355201721191406, TrainMSE: 16.25827980041504
TestMSE: 48.763710021972656, TrainMSE: 16.021753311157227
TestMSE: 48.1895751953125, TrainMSE: 15.797771453857422
TestMSE: 47.629295349121094, TrainMSE: 15.583281517028809
TestMSE: 47.08070755004883, TrainMSE: 15.376219749450684
TestMSE: 46.54233932495117, TrainMSE: 15.175134658813477
TestMSE: 46.013267517089844, TrainMSE: 14.979043960571289
TestMSE: 45.49278259277344, TrainMSE: 14.787236213684082
TestMSE: 44.980445861816406, TrainMSE: 14.599213600158691
TestMSE: 44.47572326660156, TrainMSE: 14.41457748413086
TestMSE: 43.978546142578125, TrainMSE: 14.233110427856445
TestMSE: 43.48857879638672, TrainMSE: 14.054606437683105
TestMSE: 43.005653381347656, TrainMSE: 13.878911972045898
TestMSE: 42.52960205078125, TrainMSE: 13.705909729003906
TestMSE: 42.06031799316406, TrainMSE: 13.53552532196045
TestMSE: 41.59761047363281, TrainMSE: 13.367666244506836
TestMSE: 41.14143371582031, TrainMSE: 13.202281951904297
TestMSE: 40.69171142578125, TrainMSE: 13.039337158203125
TestMSE: 40.24822998046875, TrainMSE: 12.878750801086426
TestMSE: 39.81100082397461, TrainMSE: 12.720512390136719
TestMSE: 39.37989807128906, TrainMSE: 12.564559936523438
TestMSE: 38.9548225402832, TrainMSE: 12.410876274108887
TestMSE: 38.53567123413086, TrainMSE: 12.259401321411133
TestMSE: 38.12238311767578, TrainMSE: 12.110119819641113
TestMSE: 37.71485900878906, TrainMSE: 11.962991714477539
TestMSE: 37.31306076049805, TrainMSE: 11.818001747131348
TestMSE: 36.91686248779297, TrainMSE: 11.675088882446289
TestMSE: 36.52619934082031, TrainMSE: 11.534245491027832
TestMSE: 36.140968322753906, TrainMSE: 11.395440101623535
TestMSE: 35.76113510131836, TrainMSE: 11.258634567260742
TestMSE: 35.38660430908203, TrainMSE: 11.123808860778809
TestMSE: 35.017303466796875, TrainMSE: 10.990924835205078
TestMSE: 34.653160095214844, TrainMSE: 10.859967231750488
TestMSE: 34.2940559387207, TrainMSE: 10.730883598327637
TestMSE: 1041.1641845703125, TrainMSE: 120.99714660644531
