TestMSE: 1071.89501953125, TrainMSE: 193.0041046142578
TestMSE: 652.380859375, TrainMSE: 104.3064193725586
TestMSE: 451.92626953125, TrainMSE: 61.01289367675781
TestMSE: 352.5727844238281, TrainMSE: 39.037593841552734
TestMSE: 302.8388366699219, TrainMSE: 27.758214950561523
TestMSE: 277.36224365234375, TrainMSE: 21.871414184570312
TestMSE: 263.6789245605469, TrainMSE: 18.721420288085938
TestMSE: 255.68621826171875, TrainMSE: 16.97296714782715
TestMSE: 250.4118194580078, TrainMSE: 15.9511079788208
TestMSE: 246.42050170898438, TrainMSE: 15.312061309814453
TestMSE: 243.0251922607422, TrainMSE: 14.878925323486328
TestMSE: 239.9042510986328, TrainMSE: 14.559504508972168
TestMSE: 236.90997314453125, TrainMSE: 14.304926872253418
TestMSE: 233.97848510742188, TrainMSE: 14.08876895904541
TestMSE: 231.08412170410156, TrainMSE: 13.896310806274414
TestMSE: 228.21737670898438, TrainMSE: 13.719183921813965
TestMSE: 225.37725830078125, TrainMSE: 13.55249309539795
TestMSE: 222.5649871826172, TrainMSE: 13.393198013305664
TestMSE: 219.7818603515625, TrainMSE: 13.239474296569824
TestMSE: 217.02996826171875, TrainMSE: 13.090082168579102
TestMSE: 214.310302734375, TrainMSE: 12.944266319274902
TestMSE: 211.62384033203125, TrainMSE: 12.80147933959961
TestMSE: 208.970947265625, TrainMSE: 12.661324501037598
TestMSE: 206.35250854492188, TrainMSE: 12.523591995239258
TestMSE: 203.76806640625, TrainMSE: 12.38806438446045
TestMSE: 201.21771240234375, TrainMSE: 12.254633903503418
TestMSE: 198.70108032226562, TrainMSE: 12.123165130615234
TestMSE: 196.2179412841797, TrainMSE: 11.993606567382812
TestMSE: 193.76820373535156, TrainMSE: 11.865877151489258
TestMSE: 191.35171508789062, TrainMSE: 11.73994255065918
TestMSE: 188.96759033203125, TrainMSE: 11.615769386291504
TestMSE: 186.6157989501953, TrainMSE: 11.49329662322998
