TestMSE: 618022.75, TrainMSE: 106343.65625
TestMSE: 435622.25, TrainMSE: 77150.84375
TestMSE: 24620.08984375, TrainMSE: 5041.919921875
TestMSE: 216.00489807128906, TrainMSE: 27.781063079833984
TestMSE: 1819.14453125, TrainMSE: 289.7120361328125
TestMSE: 1212254.5, TrainMSE: 207465.3125
TestMSE: 1049677.75, TrainMSE: 179225.4375
TestMSE: 1742716.625, TrainMSE: 301379.4375
TestMSE: 276575.90625, TrainMSE: 47170.7734375
TestMSE: 1510831.125, TrainMSE: 273968.125
TestMSE: 1081417.625, TrainMSE: 184876.171875
TestMSE: 84881.4921875, TrainMSE: 15585.0048828125
TestMSE: 1101397.75, TrainMSE: 189515.421875
TestMSE: 133607.0625, TrainMSE: 23248.587890625
TestMSE: 365788.625, TrainMSE: 67368.5859375
TestMSE: 812743.0, TrainMSE: 140511.21875
TestMSE: 455775.21875, TrainMSE: 80147.4140625
TestMSE: 1042750.625, TrainMSE: 188037.515625
TestMSE: 364958.9375, TrainMSE: 63547.09375
TestMSE: 866938.875, TrainMSE: 142496.265625
TestMSE: 1147612.25, TrainMSE: 196000.609375
TestMSE: 785519.625, TrainMSE: 138519.265625
TestMSE: 716781.75, TrainMSE: 126370.8125
TestMSE: 72484.3125, TrainMSE: 12383.1953125
TestMSE: 1861849.375, TrainMSE: 326828.0625
TestMSE: 212275.25, TrainMSE: 32674.59765625
TestMSE: 31174.515625, TrainMSE: 5939.32568359375
TestMSE: 946.4290161132812, TrainMSE: 196.23358154296875
TestMSE: 797666.75, TrainMSE: 139445.984375
TestMSE: 335488.46875, TrainMSE: 60708.66015625
TestMSE: 984696.9375, TrainMSE: 168664.5
TestMSE: 38351.4453125, TrainMSE: 5683.12255859375
TestMSE: 230997.21875, TrainMSE: 41785.32421875
TestMSE: 52915.25, TrainMSE: 10314.5439453125
TestMSE: 327436.5625, TrainMSE: 53575.8984375
TestMSE: 667426.125, TrainMSE: 116001.3359375
TestMSE: 278844.09375, TrainMSE: 50483.203125
TestMSE: 588984.125, TrainMSE: 100311.59375
TestMSE: 427365.75, TrainMSE: 80105.7421875
TestMSE: 70595.4375, TrainMSE: 13515.095703125
TestMSE: 198496.625, TrainMSE: 36091.0625
TestMSE: 292714.8125, TrainMSE: 47406.35546875
TestMSE: 537242.4375, TrainMSE: 89962.1875
TestMSE: 397348.375, TrainMSE: 70117.015625
TestMSE: 426310.75, TrainMSE: 73566.21875
TestMSE: 1253415.375, TrainMSE: 218031.40625
TestMSE: 307608.6875, TrainMSE: 53379.453125
TestMSE: 725784.375, TrainMSE: 123038.1484375
TestMSE: 819195.875, TrainMSE: 146447.859375
TestMSE: 185413.625, TrainMSE: 30915.703125
TestMSE: 84528.4609375, TrainMSE: 12801.830078125
TestMSE: 1329965.625, TrainMSE: 229882.078125
TestMSE: 3846.19189453125, TrainMSE: 983.2015380859375
TestMSE: 1381747.375, TrainMSE: 236932.421875
TestMSE: 1378735.75, TrainMSE: 229119.703125
TestMSE: 843670.75, TrainMSE: 147428.296875
TestMSE: 351125.6875, TrainMSE: 56757.546875
TestMSE: 1132088.5, TrainMSE: 198988.484375
TestMSE: 28695.03125, TrainMSE: 5539.51513671875
TestMSE: 1525634.25, TrainMSE: 257875.0625
TestMSE: 887784.375, TrainMSE: 146635.234375
TestMSE: 789431.0, TrainMSE: 133352.578125
TestMSE: 12685.990234375, TrainMSE: 2246.220458984375
TestMSE: 322365.78125, TrainMSE: 58088.171875
TestMSE: 541924.875, TrainMSE: 91751.65625
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 277909.25, TrainMSE: 49209.0
TestMSE: 30768.1640625, TrainMSE: 4915.9404296875
